OBJECTID,CNTY_NAME,MCD_FIPS,MCD_NAME,Pop_1850,Pop_1870,Pop_1890,Pop_1910,Pop_1930,Pop_1950,Pop_1970,Pop_1990,Pop_2010,"Latitude,",Longitude
109,BROWN,5500931000,Green Bay,1932,4698,9069,25216,37407,52735,87829,96466,104057,44.5149,-87.9897
356,DANE,5502548000,Madison,1525,9176,13426,25531,57899,96056,171809,191262,233209,43.0807,-89.3911
511,EAU CLAIRE,5503522300,Eau Claire,0,2293,17415,18310,26287,36058,44619,56856,65883,44.82,-91.4951
543,FOND DU LAC,5503926275,Fond Du Lac,0,12764,12024,18797,26449,29936,35515,37757,43021,43.7702,-88.4395
799,KENOSHA,5505939225,Kenosha,3455,4309,6532,21371,50262,54368,78805,80352,99218,42.5863,-87.8764
833,LA CROSSE,5506340775,La Crosse,0,7785,25000,30417,39614,47535,50286,51140,51320,43.8242,-91.2267
993,MARATHON,5507384475,Wausau,0,1349,9253,16560,23758,30386,32806,37060,39114,44.962,-89.6461
1050,MILWAUKEE,5507931175,Greenfield,0,0,0,0,0,0,24424,33403,36720,42.9619,-88.0051
1052,MILWAUKEE,5507953000,Milwaukee,20061,71440,204468,373857,578249,637392,717099,628088,594833,43.0642,-87.9672
1058,MILWAUKEE,5507984675,Wauwatosa,0,0,0,3346,21194,33324,58676,49484,46396,43.0616,-88.0347
1059,MILWAUKEE,5507985300,West Allis,0,0,0,6645,34671,42959,71723,63221,60411,43.0068,-88.0296
1148,OUTAGAMIE,5508702375,Appleton,0,4518,11869,16773,25267,34010,56377,65695,72623,44.2777,-88.3892
1329,RACINE,5510166000,Racine,5107,9880,21014,38002,67542,71193,95162,84298,78860,42.7275,-87.8129
1361,ROCK,5510506500,Beloit,0,4396,6315,15125,23611,29590,35729,35573,36966,42.5231,-89.0183
1373,ROCK,5510537825,Janesville,0,8789,10836,13894,21628,24899,46426,52133,63575,42.6855,-89.0137
1576,SHEBOYGAN,5511772975,Sheboygan,0,5310,16359,26398,39251,42365,49246,49718,49288,43.7404,-87.7315
1761,WAUKESHA,5513310025,Brookfield,0,0,0,0,0,0,31761,35184,37920,43.0641,-88.1232
1784,WAUKESHA,5513356375,New Berlin,0,0,0,0,0,0,26910,33592,39584,42.9726,-88.1291
1796,WAUKESHA,5513384250,Waukesha,0,2633,6321,8740,17176,21233,40271,56894,70718,43.0087,-88.2464
1871,WINNEBAGO,5513960500,Oshkosh,0,12663,22836,33062,40108,41084,53082,55006,66083,44.0228,-88.5621
