OBJECTID,CNTY_NAME,MCD_FIPS,MCD_NAME,Pop_1850,Pop_1870,Pop_1890,Pop_1910,Pop_1930,Pop_1950,Pop_1970,Pop_1990,Pop_2010,"Latitude,",Longitude
109,BROWN,5500931000,Green Bay,City,City,City,City,City,City,City,City,City,44.5149,-87.9897
356,DANE,5502548000,Madison,City,City,City,City,City,City,City,City,City,43.0807,-89.3911
511,EAU CLAIRE,5503522300,Eau Claire,Non,City,City,City,City,City,City,City,City,44.82,-91.4951
543,FOND DU LAC,5503926275,Fond Du Lac,Town,City,City,City,City,City,City,City,City,43.7702,-88.4395
799,KENOSHA,5505939225,Kenosha,City,City,City,City,City,City,City,City,City,42.5863,-87.8764
833,LA CROSSE,5506340775,La Crosse,Non,City,City,City,City,City,City,City,City,43.8242,-91.2267
993,MARATHON,5507384475,Wausau,Non,City,City,City,City,City,City,City,City,44.962,-89.6461
1050,MILWAUKEE,5507931175,Greenfield,Town,Town,Town,Town,Town,Town,City,City,City,42.9619,-88.0051
1052,MILWAUKEE,5507953000,Milwaukee,City,City,City,City,City,City,City,City,City,43.0642,-87.9672
1058,MILWAUKEE,5507984675,Wauwatosa,Town,Town,Town,City,City,City,City,City,City,43.0616,-88.0347
1059,MILWAUKEE,5507985300,West Allis,Non,Non,Non,City,City,City,City,City,City,43.0068,-88.0296
1148,OUTAGAMIE,5508702375,Appleton,Non,City,City,City,City,City,City,City,City,44.2777,-88.3892
1329,RACINE,5510166000,Racine,City,City,City,City,City,City,City,City,City,42.7275,-87.8129
1361,ROCK,5510506500,Beloit,Non,City,City,City,City,City,City,City,City,42.5231,-89.0183
1373,ROCK,5510537825,Janesville,Non,City,City,City,City,City,City,City,City,42.6855,-89.0137
1576,SHEBOYGAN,5511772975,Sheboygan,Non,City,City,City,City,City,City,City,City,43.7404,-87.7315
1761,WAUKESHA,5513310025,Brookfield,Town,Town,Town,Town,Town,Town,City,City,City,43.0641,-88.1232
1784,WAUKESHA,5513356375,New Berlin,Town,Town,Town,Town,Town,Town,City,City,City,42.9726,-88.1291
1796,WAUKESHA,5513384250,Waukesha,Non,City,City,City,City,City,City,City,City,43.0087,-88.2464
1871,WINNEBAGO,5513960500,Oshkosh,Non,City,City,City,City,City,City,City,City,44.0228,-88.5621
